"date","price"
2010-01-04,1132.98999
2010-01-05,1136.52002
2010-01-06,1137.140015
2010-01-07,1141.689941
2010-01-08,1144.97998
2010-01-11,1146.97998
2010-01-12,1136.219971
2010-01-13,1145.680054
2010-01-14,1148.459961
2010-01-15,1136.030029
2010-01-19,1150.22998
2010-01-20,1138.040039
2010-01-21,1116.47998
2010-01-22,1091.76001
2010-01-25,1096.780029
2010-01-26,1092.170044
2010-01-27,1097.5
2010-01-28,1084.530029
2010-01-29,1073.869995
2010-02-01,1089.189941
2010-02-02,1103.319946
2010-02-03,1097.280029
2010-02-04,1063.109985
2010-02-05,1066.189941
2010-02-08,1056.73999
2010-02-09,1070.52002
2010-02-10,1068.130005
2010-02-11,1078.469971
2010-02-12,1075.51001
2010-02-16,1094.869995
2010-02-17,1099.51001
2010-02-18,1106.75
2010-02-19,1109.170044
2010-02-22,1108.01001
2010-02-23,1094.599976
2010-02-24,1105.23999
2010-02-25,1102.939941
2010-02-26,1104.48999
2010-03-01,1115.709961
2010-03-02,1118.310059
2010-03-03,1118.790039
2010-03-04,1122.969971
2010-03-05,1138.699951
2010-03-08,1138.5
2010-03-09,1140.449951
2010-03-10,1145.609985
2010-03-11,1150.23999
2010-03-12,1149.98999
2010-03-15,1150.51001
2010-03-16,1159.459961
2010-03-17,1166.209961
2010-03-18,1165.829956
2010-03-19,1159.900024
2010-03-22,1165.810059
2010-03-23,1174.170044
2010-03-24,1167.719971
2010-03-25,1165.72998
2010-03-26,1166.589966
2010-03-29,1173.219971
2010-03-30,1173.27002
2010-03-31,1169.430054
2010-04-01,1178.099976
2010-04-05,1187.439941
2010-04-06,1189.439941
2010-04-07,1182.449951
2010-04-08,1186.439941
2010-04-09,1194.369995
2010-04-12,1196.47998
2010-04-13,1197.300049
2010-04-14,1210.650024
2010-04-15,1211.670044
2010-04-16,1192.130005
2010-04-19,1197.52002
2010-04-20,1207.170044
2010-04-21,1205.939941
2010-04-22,1208.670044
2010-04-23,1217.280029
2010-04-26,1212.050049
2010-04-27,1183.709961
2010-04-28,1191.359985
2010-04-29,1206.780029
2010-04-30,1186.689941
2010-05-03,1202.26001
2010-05-04,1173.599976
